,종목,매수일,매수가,매도일,매도가,수익률
0,DB하이텍,2018-04-05,13600.0,,,
1,DB하이텍,,,2018-04-06,13950.0,2.5735294117647056
2,DB하이텍,2018-04-24,13600.0,,,
3,DB하이텍,,,2018-05-03,13800.0,1.4705882352941175
4,DB하이텍,2018-06-26,19500.0,,,
5,DB하이텍,,,2018-06-27,19500.0,0.0
6,DB하이텍,2018-07-24,16900.0,,,
7,DB하이텍,,,2018-07-25,17300.0,2.366863905325444
8,DB하이텍,2018-07-27,16600.0,,,
9,DB하이텍,,,2018-07-30,17450.0,5.120481927710843
10,DB하이텍,2018-08-10,16050.0,,,
11,DB하이텍,,,2018-08-16,15850.0,-1.2461059190031152
12,DB하이텍,2018-10-23,12750.0,,,
13,DB하이텍,,,2018-10-31,11200.0,-12.156862745098039
14,DB하이텍,2019-02-01,13000.0,,,
15,DB하이텍,,,2019-02-15,13350.0,2.6923076923076925
16,DB하이텍,2019-05-10,14050.0,,,
17,DB하이텍,,,2019-05-15,14650.0,4.270462633451958
18,DB하이텍,2019-06-19,15650.0,,,
19,DB하이텍,,,2019-07-03,15900.0,1.5974440894568689
20,DB하이텍,2019-07-09,13600.0,,,
21,DB하이텍,,,2019-07-11,13600.0,0.0
22,DB하이텍,2019-08-06,12100.0,,,
23,DB하이텍,,,2019-08-07,12550.0,3.71900826446281
24,DB하이텍,2020-02-03,26750.0,,,
25,DB하이텍,,,2020-02-04,29250.0,9.345794392523365
26,DB하이텍,2020-02-28,25000.0,,,
27,DB하이텍,,,2020-03-03,27000.0,8.0
28,DB하이텍,2020-03-04,24900.0,,,
29,DB하이텍,,,2020-03-05,26100.0,4.819277108433735
30,DB하이텍,2020-03-12,22750.0,,,
31,DB하이텍,,,2020-03-16,21100.0,-7.252747252747254
32,DB하이텍,2020-03-17,17900.0,,,
33,DB하이텍,,,2020-03-18,19200.0,7.262569832402235
34,DB하이텍,2020-03-19,17300.0,,,
35,DB하이텍,,,2020-03-23,16150.0,-6.6473988439306355
36,DB하이텍,2020-03-26,21250.0,,,
37,DB하이텍,,,2020-03-31,21600.0,1.647058823529412
38,DB하이텍,2020-05-28,30800.0,,,
39,DB하이텍,,,2020-06-02,30750.0,-0.16233766233766234
40,DB하이텍,2020-06-16,27950.0,,,
41,DB하이텍,,,2020-06-17,27700.0,-0.8944543828264758
42,DB하이텍,2020-08-19,35300.0,,,
43,DB하이텍,,,2020-08-20,37900.0,7.365439093484419
44,DB하이텍,2020-11-02,31950.0,,,
45,DB하이텍,,,2020-11-05,35000.0,9.546165884194053
46,DB하이텍,2020-12-01,35750.0,,,
47,DB하이텍,,,2020-12-18,36550.0,2.237762237762238
48,DB하이텍,2021-02-01,61200.0,,,
49,DB하이텍,,,2021-02-02,64500.0,5.392156862745098
50,DB하이텍,2021-03-09,50700.0,,,
51,DB하이텍,,,2021-03-12,52800.0,4.142011834319527
52,DB하이텍,2021-05-17,56100.0,,,
53,DB하이텍,,,2021-05-24,54100.0,-3.5650623885918007
54,DB하이텍,2021-05-25,52000.0,,,
55,DB하이텍,,,2021-06-03,54700.0,5.1923076923076925
56,DB하이텍,2021-08-12,61700.0,,,
57,DB하이텍,,,2021-08-13,65100.0,5.510534846029174
58,DB하이텍,2021-11-25,74000.0,,,
59,DB하이텍,,,2021-11-30,75200.0,1.6216216216216217
60,DB하이텍,2021-12-01,67900.0,,,
61,DB하이텍,,,2021-12-02,67000.0,-1.3254786450662739
62,DB하이텍,2021-12-09,69100.0,,,
63,DB하이텍,,,2021-12-16,72500.0,4.92040520984081
64,DB하이텍,2022-01-24,77200.0,,,
65,DB하이텍,,,2022-01-25,80000.0,3.6269430051813467
66,DB하이텍,2022-02-04,73700.0,,,
67,DB하이텍,,,2022-02-07,74100.0,0.5427408412483039
68,DB하이텍,2022-05-25,71000.0,,,
69,DB하이텍,,,2022-06-15,61400.0,-13.521126760563378
70,DB하이텍,2022-06-22,56300.0,,,
71,DB하이텍,,,2022-07-08,51100.0,-9.236234458259325
72,DB하이텍,2022-07-13,40450.0,,,
73,DB하이텍,,,2022-07-14,41150.0,1.73053152039555
74,DB하이텍,2022-09-08,41800.0,,,
75,DB하이텍,,,2022-09-14,42050.0,0.5980861244019139
76,DB하이텍,2022-09-29,38300.0,,,
77,DB하이텍,,,2022-10-04,38450.0,0.39164490861618795
78,DB하이텍,2023-03-10,48800.0,,,
79,DB하이텍,,,2023-03-17,48400.0,-0.819672131147541
80,SKC,2018-02-08,38000.0,,,
81,SKC,,,2018-02-26,38550.0,1.4473684210526316
82,SKC,2018-04-05,36700.0,,,
83,SKC,,,2018-04-12,36650.0,-0.13623978201634876
84,SKC,2018-10-24,36200.0,,,
85,SKC,,,2018-11-05,34250.0,-5.386740331491713
86,SKC,2018-12-28,35350.0,,,
87,SKC,,,2019-01-07,35850.0,1.4144271570014144
88,SKC,2019-05-14,31800.0,,,
89,SKC,,,2019-05-15,32450.0,2.044025157232704
90,SKC,2019-09-26,39950.0,,,
91,SKC,,,2019-10-01,40100.0,0.37546933667083854
92,SKC,2020-02-13,56400.0,,,
93,SKC,,,2020-02-17,55800.0,-1.0638297872340425
94,SKC,2020-03-04,52500.0,,,
95,SKC,,,2020-03-05,55200.0,5.142857142857142
96,SKC,2020-03-10,49500.0,,,
97,SKC,,,2020-03-11,50400.0,1.8181818181818181
98,SKC,2020-03-12,47700.0,,,
99,SKC,,,2020-03-16,43250.0,-9.329140461215934
100,SKC,2020-03-17,37000.0,,,
101,SKC,,,2020-03-18,39500.0,6.756756756756757
102,SKC,2020-03-19,35500.0,,,
103,SKC,,,2020-03-23,28800.0,-18.87323943661972
104,SKC,2020-04-01,37150.0,,,
105,SKC,,,2020-04-02,37950.0,2.1534320323014806
106,SKC,2020-04-08,39250.0,,,
107,SKC,,,2020-04-09,42250.0,7.643312101910828
108,SKC,2020-04-27,50400.0,,,
109,SKC,,,2020-05-08,49900.0,-0.992063492063492
110,SKC,2020-06-04,56800.0,,,
111,SKC,,,2020-06-08,59300.0,4.401408450704225
112,SKC,2020-06-16,54900.0,,,
113,SKC,,,2020-06-17,57000.0,3.825136612021858
114,SKC,2020-08-18,83400.0,,,
115,SKC,,,2020-08-20,83700.0,0.3597122302158274
116,SKC,2020-08-21,81400.0,,,
117,SKC,,,2020-08-24,88500.0,8.722358722358722
118,SKC,2020-09-25,78700.0,,,
119,SKC,,,2020-09-29,82600.0,4.955527318932655
120,SKC,2020-10-14,79300.0,,,
121,SKC,,,2020-10-15,80000.0,0.8827238335435058
122,SKC,2020-10-20,71600.0,,,
123,SKC,,,2020-10-21,74400.0,3.910614525139665
124,SKC,2021-02-25,124000.0,,,
